X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,notes
-66.6925342765946,45.8800999700536,582948489,node,21,,pharmacy,,New Maryland Highway,,,79655904,,,,ebf79db1998f48df8f72e23049d0232d,,,,,,0,4,,2020/01/16 15:06:30,636,,,,New Maryland Pharmacy,,Adam Martin,,,,yes,pharmacy,,
-75.6552137374885,45.4320503650553,6015802202,node,15,,clinic,,McArthur Avenue,,,63906390,,,,408992c250c641a9bdef6bf5951f571a,,,,,,0,1,,2018/10/26 16:27:23,311,,,,Vertefeuille Pavilion,,DannyMcD,,,,,,,
-57.3874167715935,47.5244220882316,1530487853,node,9,,hospital,,,,,10030079,,,,fdbf68f6ad9f4fc1aa19aaed8f1f54aa,,,,NRCan-CanVec-8.0,,0,1,,2011/12/04 04:35:20,,,,,,,bgamberg,,,,,,,
-122.338353046599,49.053303439124,4002895590,node,24,,dentist,periodontics,Clearbrook Road,,,95340781,,,,41cc92d2a6ac45e59d460bc3aaa9013b,,,,,,0,4,,2020/12/05 16:42:06,2825,V2T 6S3,,,Profile Periodontics and Dental Implants,,lokejul,,,,,dentist,,
-75.7817978259481,45.3309623496688,5759118145,node,15,,pharmacy,,Greenbank Road,,,60695524,,,,4160350083c843138fb7e4127e16ae2a,,,,,,0,1,,2018/07/13 18:04:14,139,,,,Nepean Medical Pharmacy,,DannyMcD,,,,,,,
-79.2410939228795,43.7950164793247,7734522078,node,12,,clinic,,,,,88306022,,,,fc8a03f0c148418b9cf1748e0ad2d80c,,,,,,0,1,,2020/07/21 17:35:25,,,,,Markham Sheppard Women's Health Centre,,DannyMcD,,,,,clinic,,
-79.5059353248915,43.7098367294284,6357208062,node,12,,dentist,,,,,68457704,,,,dfdab77dd6b54b6fa3f190fae0dd14e4,,,,,,0,1,,2019/03/23 23:21:03,,,,,North West Dental Laboratories,,DannyMcD,,,,,dentist,,
,,430083232,way,21,,,acupuncture,Rue Gamelin,,,74671945,,,,c06ae3aabeab48bea64268d77733024c,,,,,,0,4,,2019/09/19 12:53:00,81,,,Gatineau,Acupuncture Miriame Benoit,,Matthew Darwin,,,,,alternative,,
-77.3992841076497,44.1594106673378,6612347919,node,12,,doctors,,,,,72220461,,,,1f6d944fc7754b3487845b2d469ea604,,,,,,0,1,,2019/07/13 22:55:55,,,,,Family Medical Centre,,DannyMcD,,,,,doctor,,
,,59274880,way,21,,pharmacy,,,Loblaw Companies Limited,,86264857,,,,b9142f005871461ab12ac4f48b84284c,,,,yahoo,,0,3,,2020/06/05 23:07:19,,,,,Shoppers Drug Mart,,redfalconfan1001,,,,yes,pharmacy,,
-122.891702824786,49.1206347644027,6720340809,node,9,,dentist,,,,,73456151,,,,cdee837444fa46c98cacfcadc695e75f,,,,,,0,1,,2019/08/18 05:55:49,,,,,,,3ngineer,,,,,dentist,,
-79.2233048421363,43.7596917865902,6600852110,node,15,,pharmacy,,,,,72066591,,,,faae66b2f4b84c409d289048762b220a,,,,,,0,1,,2019/07/09 18:24:13,,,,,Mercury Drugs,,DannyMcD,,,,yes,pharmacy,,
-79.3973279041681,43.6872426388719,2801514215,node,18,,pharmacy,,St. Clair Avenue West,,,87422685,,,,4745fcefdda94b44894dde130a9f05af,,,,,,0,10,,2020/07/02 00:57:24,55,,,Toronto,Deer Park Pharmacy,,Richard Zeng,,,,,,,
,,188135708,way,9,,hospital,,,,,70479546,,,,1275a7c13d734c81adbaeeea97e640dc,,,,NRCan-CanVec-10.0,,0,2,,2019/05/21 13:47:27,,,,,,,snsmith44,,,,,,,
